"x","y","lprice"
119309,487306,11.9891596439666
121297,484274,12.6443275764613
123024,490835,12.1495022940418
129736,479684,12.3013828253345
122087,485501,12.2060726455302
120464,486573,12.683858415218
113049,484990,12.4292161968444
124751,487823,12.498742259493
117396,484782,11.901583454762
118622,484876,12.0895388292742
118481,488066,12.0137007528827
121921,487758,12.3458345879053
119986,483917,14.2537654888954
121061,487060,12.3883942023241
117606,488601,11.4616321705827
117254,487517,11.7280368445872
118503,484823,12.8452914840646
118841,486280,11.5617156291397
122623,484948,11.9183905730784
118841,486275,12.1281111040605
118387,484577,12.2666972673466
118404,486699,11.9183905730784
121902,484007,12.4684369099977
117606,488609,11.4616321705827
117606,488605,11.7280368445872
123965,489409,12.1547793511426
130339,491807,13.7375490164946
121611,487283,13.2621253197795
121687,487380,13.8402031705546
121007,492989,12.2783933071098
114082,484504,12.5602444592508
124945,490664,11.8529627677559
125337,490310,11.8844890214027
123344,485026,11.8313791960888
123355,485011,11.9447078813958
115727,487991,12.4490188241406
115613,487349,12.2548628096996
117007,487298,11.982929094216
124834,490764,11.8547405460019
113488,484674,12.4684369099977
124277,490113,12.2307408675792
127321,478462,12.0725412529057
124761,487321,13.1615840905576
120093,482300,11.7519423654407
120631,482257,12.7188962719588
123422,483932,12.2060726455302
117606,488609,11.3963916487143
116035,484393,12.1281111040605
115707,485455,11.7752897294377
116761,488078,11.9640010843304
118788,485031,12.0581525154536
119301,486908,12.4874851049684
120134,485496,12.6362303662287
119529,486256,11.9984332807519
120934,488319,12.5776362019627
119989,482298,12.0376539939052
120461,482301,12.2060726455302
121563,486313,12.7425660160447
119850,488660,11.9766594812024
120419,486753,12.7728059012345
126585,478589,12.3673407931263
118740,485860,12.2307652581205
118236,484660,12.1807548375459
119459,484204,12.1145054520047
118304,487752,11.8493977015914
123197,486948,12.8479265317026
119361,487343,12.0346910287746
118651,485548,12.9945300058944
121964,484284,12.4450895460007
120784,485297,12.8544839322487
118287,484608,11.982929094216
118542,485380,13.6819791653398
117014,485500,11.8493977015914
117501,488474,12.0137007528827
119333,487545,12.0137007528827
120393,485211,13.3923905146174
118311,484912,12.0552497557956
120911,489116,11.7905572015685
118305,484733,11.982929094216
118442,487756,11.657025808944
118534,485495,12.1145054520047
121881,484232,12.5776362019627
118494,484755,12.8266491332553
119404,487432,12.0137007528827
119390,487285,11.9866720804948
121979,484312,12.5845090812504
118137,484826,11.982929094216
118225,484660,12.2704549044594
118138,484731,12.0376539939052
123455,485346,12.2312529440605
123455,485346,12.2783933071098
123455,485346,12.1495022940418
123777,485229,12.6760762747759
124180,487045,12.3883942023241
124825,485068,12.1468532858702
120144,484432,12.6603279178078
125134,487818,13.2533916398107
121565,485712,12.7068479334427
