"year","obs_id","adress_id","price","distance","density","sales_date","month","year_month","pc4","pc6","rd_x","rd_y","construction_period","garden","size","volume","rooms","wtype","parking","monumentalstatus","buyerpaysorfree","quality","lprice","lsize","population","gdp_change","hpi_groningen_change","hpi_southholland_change","hpi_nordbrabant_change","hpi_rotterdam_change","accommodation_nl_change"
2009,3595884,21507076,284000,991.375061035156,0,2009-03-02,3,200903,"1019","1019DV",124196,487411,"8",0,84,220,3,"-1","1","0","1","14",12.5567295171433,4.43081679884331,755605,-4,NA,NA,NA,NA,5.9
2009,3575950,21763399,320000,321.792510986328,0,2009-07-10,7,200907,"1054","1054TZ",119057,485914,"2",0,90,255,4,"-1","0","0","1","14",12.6760762747759,4.49980967033027,755605,-4,NA,NA,NA,NA,5.9
2009,3570889,22105750,250000,529.4921875,0,2009-01-14,1,200901,"1051","1051MG",119785,487792,"9",0,60,150,2,"-1","0","0","1","14",12.4292161968444,4.0943445622221,755605,-4,NA,NA,NA,NA,5.9
2009,3594584,19756892,217500,6139.154296875,0,2009-05-26,5,200905,"1106","1106ES",126177,479646,"6",1,120,320,5,"2","0","0","1","14",12.2899541295109,4.78749174278205,755605,-4,NA,NA,NA,NA,5.9
2009,3592231,19788272,150000,7791.40576171875,0,2009-12-22,12,200912,"1107","1107LE",127401,478429,"7",0,94,245,4,"-1","0","0","1","14",11.9183905730784,4.54329478227,755605,-4,NA,NA,NA,NA,5.9
2009,3563261,20981107,135000,1361.22387695312,0,2009-01-28,1,200901,"1023","1023ZB",124342,489598,"7",0,46,115,2,"-1","0","0","1","14",11.8130300574206,3.8286413964891,755605,-4,NA,NA,NA,NA,5.9
2009,3560373,20586569,215000,565.031982421875,0,2009-01-13,1,200901,"1056","1056XB",119158,487677,"3",0,60,160,4,"-1","0","0","1","14",12.2783933071098,4.0943445622221,755605,-4,NA,NA,NA,NA,5.9
2009,3465129,20482394,190000,4115.21826171875,0,2009-07-14,7,200907,"1060","1060RG",113877,484793,"8",1,85,230,3,"-1","0","0","1","14",12.1547793511426,4.44265125649032,755605,-4,NA,NA,NA,NA,5.9
2009,3594212,20354409,194000,77.7700576782227,1,2009-03-04,3,200903,"1052","1052LV",119924,487362,"2",1,40,105,2,"-1","0","0","1","14",12.1756134380455,3.68887945411394,755605,-4,NA,NA,NA,NA,5.9
2009,3604168,22041957,4e+05,648.998352050781,0,2009-01-21,1,200901,"1051","1051ED",119909,488645,"2",1,120,350,4,"-1","0","0","1","16",12.8992198260901,4.78749174278205,755605,-4,NA,NA,NA,NA,5.9
